"Season","Team","IP","BABIP","ERA","FIP","WAR","TBF","R","ER","H","HR","BB","HBP","SO","WPA","AVG","FIP-","RA9-WAR"
"1912","Senators","1376.2",".281","2.69","3.02","16.0","","581","412","1219","24","525","54","828","",".239","97","25.7"
"1902","Superbas","1256.0",".268","2.69","2.78","13.4","","519","376","1113","10","363","37","536","",".239","97","16.8"
"1907","Cardinals","1365.2",".268","2.70","2.60","11.5","","607","409","1212","20","500","48","594","",".239","104","3.7"
"1904","Superbas","1337.1",".274","2.70","2.93","6.7","","616","401","1281","27","414","56","453","",".254","113","8.0"
"1917","Reds","1397.1",".272","2.70","2.68","11.4","5868","611","419","1358","20","402","33","488","",".250","104","5.5"
"1884","Reds","953.1",".310","2.70","2.27","12.6","","558","286","885","17","110","","753","",".248","89","13.3"
"1919","Giants","1256.0",".252","2.70","3.09","7.9","5148","470","377","1153","34","305","25","340","",".239","108","14.9"
"1914","Pirates","1405.0",".264","2.70","2.83","12.2","","540","422","1272","27","392","36","488","",".243","101","18.4"
"1885","Grays","960.2",".277","2.71","3.09","7.4","","531","289","912","18","235","0","371","",".252","106","9.6"
"1914","Cubs","1389.1",".257","2.71","2.99","10.7","","638","418","1169","37","528","39","651","",".230","104","7.4"
"1968","Giants","1469.0",".265","2.71","2.62","18.7","5990","529","442","1302","86","344","24","942","",".232","95","17.7"
"1933","Giants","1408.2",".256","2.71","3.48","12.8","5811","514","424","1280","61","400","25","555","",".238","101","25.2"
"1881","Red Caps","730.2",".288","2.71","2.89","5.4","","410","220","763","9","143","","199","",".270","106","6.9"
"1884","Orioles","955.2",".293","2.71","2.85","11.7","","515","288","869","16","219","31","635","",".244","92","12.7"
"1968","Tigers","1489.2",".246","2.71","3.06","17.8","6043","492","449","1180","129","486","32","1115","",".214","95","25.1"
"1884","Browns/Stogies","803.2",".315","2.72","2.29","10.4","","411","243","743","12","137","","679","",".247","90","17.1"
"1964","White Sox","1467.2",".248","2.72","3.28","19.4","5910","501","444","1216","124","401","31","955","",".222","92","29.8"
"1968","Mets","1483.1",".261","2.72","2.74","16.5","6028","499","449","1250","87","430","45","1014","",".225","98","23.0"
"1888","Red Stockings","1237.2",".269","2.73","2.74","14.1","","628","375","1103","19","310","0","539","",".240","94","20.7"
"1903","Naps","1243.2",".277","2.73","2.74","12.7","","578","377","1161","16","271","35","521","",".249","98","12.4"
"1915","Terriers","1426.0",".273","2.73","2.46","23.8","","528","433","1267","22","396","30","698","",".240","84","26.0"
"1913","Senators","1396.1",".264","2.73","2.80","14.3","","568","424","1177","35","465","69","758","",".230","98","20.1"
"1919","Robins","1281.0",".277","2.73","2.71","18.3","5271","513","389","1256","21","292","31","476","",".254","89","14.5"
"1918","White Sox","1126.0",".280","2.73","2.56","14.6","4548","443","342","1092","9","300","18","349","",".258","91","11.2"
"1905","Browns","1384.2",".273","2.74","2.63","10.1","","608","421","1245","19","389","62","633","",".242","106","7.0"
"1888","Wolverines","1199.0",".273","2.74","2.72","14.2","","629","365","1115","44","183","28","522","",".248","91","9.4"
"1968","Pirates","1487.0",".269","2.74","2.87","12.3","6140","532","453","1322","73","485","36","897","",".235","103","17.4"
"1914","Braves","1421.0",".266","2.74","2.94","16.7","","548","433","1272","38","477","49","606","",".241","97","25.2"
"1911","Red Sox","1351.2",".293","2.74","2.97","15.6","","642","412","1309","21","473","48","711","",".256","96","19.1"
"1880","Trojans","738.0",".283","2.74","2.66","6.1","","438","225","763","8","113","","173","",".268","108","5.4"
"1968","White Sox","1468.0",".258","2.75","3.16","13.2","6080","527","448","1290","97","451","66","834","",".232","100","17.5"
"1917","Senators","1413.0",".268","2.75","2.69","14.4","5721","567","432","1217","12","537","36","637","",".236","98","13.0"
"1918","Browns","1111.1",".259","2.75","2.90","9.8","4585","448","340","993","11","402","31","346","",".239","102","10.2"
"1882","Blues","751.2",".276","2.75","3.05","4.6","","411","230","743","22","132","","232","",".260","112","11.6"
"1903","Tigers","1196.0",".290","2.75","2.88","11.9","","539","366","1169","19","336","29","554","",".257","100","14.3"
