Season,Tm,IP,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA
2007,"FLA",1443.2,6544,4.95613022,1617,302,31,891,795,176,661,60,76,1142,0.28503437,0.36400186,0.4422704,0.3520786251593105
2007,"HOU",1464.2,6417,4.70072827,1566,345,37,813,765,206,510,62,63,1109,0.27334613,0.33663834,0.45435504,0.3407781991186372
2007,"LAD",1450,6196,4.20206897,1443,279,22,727,677,146,518,34,38,1184,0.26103473,0.32631407,0.39869754,0.31862396058563486
2007,"MIL",1444.1,6285,4.44288022,1513,321,26,776,713,161,507,37,52,1174,0.26921708,0.3327445,0.42153025,0.32931766250021816
2007,"WSN",1446.2,6333,4.57880184,1502,300,27,783,736,187,580,44,42,931,0.26898281,0.33891814,0.43284384,0.3358532529963034
2007,"NYM",1452.1,6293,4.26968097,1415,296,33,750,689,165,570,40,61,1134,0.25458798,0.32856913,0.40878014,0.3232984546411205
2007,"PHI",1458.1,6385,4.76434286,1555,345,26,821,772,198,558,62,72,1050,0.27561149,0.34578256,0.45125842,0.34502624855724334
2007,"PIT",1447.2,6374,4.9424361,1627,337,21,846,795,174,518,55,76,997,0.28781178,0.35214841,0.44719618,0.3471033647036751
2007,"STL",1435.2,6283,4.67030416,1514,319,38,829,745,168,509,25,73,945,0.27059875,0.3364366,0.43127793,0.3352219260862813
2007,"SDP",1484.2,6254,3.7220476,1406,270,38,666,614,119,474,48,48,1136,0.24960057,0.31126897,0.37440085,0.30132146411946026
2007,"SFG",1453.2,6299,4.19766109,1442,320,41,720,678,133,593,41,47,1057,0.26052394,0.33445783,0.40523939,0.32477574814761595
2008,"LAA",1451.1,6161,3.99977033,1455,272,28,697,645,160,457,32,63,1106,0.26117394,0.32250163,0.40621073,0.3200951027326183
2008,"BAL",1422,6414,5.15189873,1538,279,23,869,814,184,687,44,80,922,0.2770672,0.36122865,0.43505675,0.34993272977464485
2008,"BOS",1446.1,6180,4.0135976,1369,289,19,694,645,147,548,17,68,1185,0.24958979,0.3232899,0.38960802,0.31635242567213456
2008,"CHW",1457.2,6218,4.10587697,1471,314,31,729,665,156,460,42,48,1147,0.26076937,0.32048583,0.41038823,0.3197687818237061
2008,"CLE",1437,6164,4.45929019,1530,290,21,761,712,170,444,28,51,986,0.27326308,0.33007335,0.42364708,0.3299454466320985
2008,"DET",1445,6411,4.90795848,1541,334,33,857,788,172,644,63,68,991,0.27434574,0.35324553,0.43742211,0.34533483600767473
2008,"KCR",1445.2,6214,4.50103758,1473,282,41,781,723,159,515,15,41,1085,0.2643575,0.32794569,0.41529074,0.32639399494393956
2008,"MIN",1459,6221,4.17614805,1568,295,27,745,677,183,406,38,31,995,0.2743657,0.32396187,0.43149606,0.32854584519833285
2008,"NYY",1441.2,6175,4.28254335,1478,288,25,727,686,143,489,37,51,1141,0.26645033,0.32871803,0.40472327,0.3220996613464993
2008,"OAK",1435,6112,4.01393728,1364,284,31,690,640,135,576,45,54,1061,0.25277984,0.32801448,0.39195701,0.317390676223564
2008,"SEA",1435.1,6368,4.72782164,1544,351,20,811,754,161,626,37,53,1016,0.27635583,0.35135135,0.43279041,0.3438562841218302
2008,"TBR",1457.2,6145,3.81568717,1349,289,32,671,618,166,526,29,46,1143,0.24554059,0.31435117,0.40043684,0.31390797366675716
2008,"TEX",1442,6506,5.36754508,1647,355,36,967,860,176,625,44,72,963,0.28783642,0.36206364,0.45473611,0.3566006310620167
2008,"TOR",1446.2,6067,3.49009217,1330,281,31,610,561,134,467,42,67,1184,0.24358974,0.30891614,0.38003663,0.30323333274299535
2008,"ARI",1434.2,6119,3.98977695,1403,276,30,706,636,147,451,41,68,1229,0.25597519,0.31784356,0.39773764,0.3137962527367182
