"Season","Team","G","AB","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","OPS","wOBA","wRC+","EV","BsR","Off","Def","WAR","H","1B","2B","3B","HR","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","wOBA"
"1923","Yankees","1625","5345","6036","105","824","771","69","8.5%","8.5%",".132",".307",".291",".357",".423",".780",".363","105","","-3.4","37.1","88.7","31.8","1555","1139","231","80","105","511","","515","35","","145","","69","74",".363"
"1927","Giants","1794","5372","6045","109","817","765","73","7.6%","7.6%",".131",".309",".297",".356",".427",".783",".363","110","","10.2","86.9","50.8","32.6","1594","1172","251","62","109","461","","462","32","","180","","73","",".363"
"1997","Mariners","1911","5614","6385","264","925","890","89","9.8%","17.4%",".204",".305",".280",".355",".485",".839",".363","116","","1.0","133.5","-10.9","34.0","1574","977","312","21","264","626","53","1110","49","49","46","146","89","40",".363"
"1947","Giants","1809","5343","5924","221","830","790","29","8.3%","9.6%",".183",".269",".271",".335",".454",".789",".363","105","","4.8","39.1","29.4","27.4","1446","957","220","48","221","494","","570","23","","64","114","29","",".363"
"1999","Rangers","1807","5651","6389","230","945","897","111","9.6%","14.7%",".186",".313",".293",".361",".479",".840",".363","109","","-2.1","74.5","-20.4","26.3","1653","1090","304","29","230","611","41","937","29","62","35","147","111","54",".363"
"1931","Athletics","1575","5377","6018","118","858","798","25","8.8%","9.0%",".147",".302",".287",".355",".435",".789",".363","104","","-6.3","27.6","86.9","32.8","1544","1051","311","64","118","528","","543","35","","78","","25","23",".363"
"1887","Wolverines","1147","4689","5079","55","969","818","267","6.9%","5.1%",".134",".308",".299",".353",".434",".787",".363","114","","-27.6","90.7","50.7","27.5","1404","1010","213","126","55","352","","258","38","","","","267","",".363"
"1928","Pirates","1664","5371","6037","52","837","768","64","7.2%","5.8%",".112",".324",".309",".364",".421",".785",".363","102","","9.5","24.0","35.9","24.7","1659","1261","246","100","52","435","","352","29","","202","","64","",".363"
"1890","Giants","1236","4913","5430","66","1018","793","231","9.0%","6.7%",".121",".296",".284",".352",".405",".757",".363","96","","-13.2","-55.0","26.2","19.7","1393","1026","204","97","66","486","","364","31","","","","231","",".363"
"1931","Indians","1727","5450","6116","71","885","812","63","9.1%","7.0%",".123",".312",".296",".364",".420",".783",".363","101","","-14.9","-5.4","4.2","21.7","1615","1154","321","69","71","555","","430","21","","90","","63","60",".363"
"1934","Yankees","1713","5368","6178","135","842","789","71","11.3%","9.7%",".140",".293",".278",".364",".419",".782",".362","107","","-9.1","55.7","74.1","33.9","1494","1071","227","61","135","700","","602","20","","90","","71","46",".362"
"1924","Yankees","1703","5226","5918","98","799","735","69","8.1%","7.1%",".137",".302",".291",".353",".427",".781",".362","100","","-0.6","1.2","34.5","24.1","1519","1086","249","86","98","479","","418","27","","186","","69","67",".362"
"1896","Giants","1277","4661","5225","40","829","720","274","8.4%","5.2%",".097",".309",".297",".364",".394",".758",".362","103","","1.0","27.9","7.1","20.5","1383","1097","159","87","40","439","","271","53","","72","","274","",".362"
"1911","Athletics","1568","5199","5920","35","861","692","226","7.2%","",".102","",".296",".357",".398",".754",".362","112","","0.8","91.9","24.8","33.1","1540","1175","237","93","35","424","","","65","","232","","226","",".362"
"1951","Dodgers","1928","5492","6214","184","855","794","89","9.7%","10.4%",".159",".285",".275",".352",".434",".786",".362","109","","-6.1","61.2","71.1","34.5","1511","1041","249","37","184","603","","649","44","","75","147","89","70",".362"
"1895","Colts","1226","4708","5252","55","866","727","260","8.0%","6.5%",".107",".312",".298",".361",".405",".766",".362","93","","3.9","-55.1","-7.5","12.4","1401","1090","171","85","55","422","","344","42","","80","","260","",".362"
"1929","Giants","1756","5388","6060","136","897","829","85","8.0%","6.7%",".140",".301",".296",".358",".436",".793",".362","97","","14.6","-11.6","75.5","25.5","1594","1160","251","47","136","482","","405","36","","154","","85","",".362"
