"Season","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","EV","ERA","FIP","xFIP","WAR","TBF","H","R","ER","HR","BB","IBB","HBP","SO","Pitches","Pitches","AVG","WHIP","RA9-WAR"
"1916","Phillies","91","62","9","232","154","1382.2","3.91","1.92","0.18",".263","70.8%","","","","2.36","2.45","","19.0","5569","1238","489","362","28","295","","45","601","","",".237","1.11","20.9"
"1874","Red Stockings","52","18","3","77","71","633.0","0.37","0.38","0.01",".306","48.5%","","","","2.36","2.87","","6.7","","777","415","166","1","27","","","26","","",".303","1.27","13.8"
"1916","White Sox","89","65","15","295","155","1412.1","4.10","2.58","0.09",".267","70.1%","","","","2.36","2.45","","19.7","5487","1189","498","371","14","405","","26","644","","",".235","1.13","21.5"
"1914","Red Sox","91","62","8","251","159","1427.1","3.80","2.48","0.11",".258","69.8%","","","","2.36","2.58","","15.8","","1207","511","375","18","393","","32","602","","",".231","1.12","21.9"
"1883","Grays","58","39","1","108","98","871.0","3.89","1.15","0.12",".281","54.5%","","","","2.37","2.95","","8.6","","827","436","229","12","111","","","376","","",".252","1.08","18.8"
"1878","White Stockings","30","30","0","61","61","551.0","2.86","0.57","0.07",".294","46.3%","","","","2.37","2.19","","7.2","","577","331","145","4","35","","","175","","",".271","1.11","4.6"
"1908","Reds","73","81","8","205","155","1384.0","2.82","2.70","0.12",".257","69.0%","","","","2.37","2.55","","11.9","","1218","537","365","19","415","","42","433","","",".238","1.18","11.0"
"1878","Grays","33","27","0","66","62","556.0","2.80","1.39","0.08",".302","52.0%","","","","2.38","2.49","","3.7","","609","337","147","5","86","","","173","","",".280","1.25","3.7"
"1914","Cardinals","81","72","12","253","157","1424.2","3.35","2.67","0.16",".264","70.6%","","","","2.38","2.82","","14.1","","1279","540","377","26","422","","51","531","","",".241","1.19","21.5"
"1884","Outlaw Reds","69","34","1","111","103","914.1","4.95","0.89","0.17",".282","50.7%","","","","2.38","2.71","","10.5","","831","466","242","17","90","","","503","","",".244","1.01","22.0"
"1907","Superbas","65","83","1","182","153","1356.1","3.18","3.07","0.11",".264","70.3%","","","","2.38","2.65","","9.0","","1218","527","359","16","463","","39","479","","",".242","1.24","10.1"
"1888","Quakers","68","61","3","137","131","1167.0","4.00","1.51","0.20",".274","62.0%","","","","2.38","2.56","","16.9","","1072","514","309","26","196","","25","519","","",".246","1.09","20.5"
"1885","Quakers","56","54","0","114","111","976.0","3.49","2.01","0.17",".262","53.9%","","","","2.39","3.02","","8.9","","860","511","259","18","218","","0","378","","",".238","1.10","12.1"
"1915","Red Sox","101","50","15","254","155","1397.0","4.08","2.87","0.12",".257","70.9%","","","","2.39","2.63","","16.4","","1164","499","371","18","446","","46","634","","",".228","1.15","26.4"
"1905","Giants","105","48","15","197","155","1370.0","4.99","2.39","0.16",".268","69.1%","","","","2.39","2.45","","21.1","","1160","504","364","25","364","","31","760","","",".231","1.11","28.3"
"1875","Mutuals","30","38","0","72","71","637.2","0.23","0.34","0.04",".286","42.8%","","","","2.40","2.49","","4.9","","716","425","170","3","24","","","16","","",".285","1.16","4.6"
"1881","Grays","47","37","0","94","85","757.2","3.14","1.64","0.06",".286","52.8%","","","","2.40","2.62","","7.0","","756","426","202","5","138","","","264","","",".261","1.18","6.4"
"1909","Naps","71","82","3","206","155","1361.0","3.76","2.30","0.06",".269","67.4%","","","","2.40","2.23","","14.5","","1212","532","363","9","348","","47","568","","",".240","1.15","12.1"
"1908","Tigers","90","63","5","192","154","1374.1","3.62","2.08","0.08",".281","68.0%","","","","2.40","2.10","","16.1","","1313","552","367","12","318","","60","553","","",".253","1.19","12.8"
"1875","White Stockings","30","37","0","73","69","625.0","0.40","0.40","0.00",".273","38.8%","","","","2.40","2.41","","7.9","","652","416","167","0","28","","","28","","",".270","1.09","7.7"
"1907","Reds","66","87","2","195","156","1351.1","3.20","2.96","0.11",".266","71.0%","","","","2.41","2.61","","12.7","","1223","519","362","16","444","","66","481","","",".243","1.23","15.1"
"1892","Spiders","93","55","2","164","152","1336.0","3.18","2.78","0.19",".259","63.2%","","","","2.41","3.02","","18.3","","1178","613","358","28","413","","8","472","","",".238","1.19","30.9"
"1888","Athletics","81","52","0","139","136","1208.2","4.44","2.41","0.10",".257","55.6%","","","","2.41","2.63","","14.1","","988","594","324","14","324","","0","596","","",".225","1.09","21.6"
"1913","Giants","101","51","17","250","156","1422.0","4.12","1.99","0.24",".269","70.4%","","","","2.42","2.65","","19.7","","1276","515","383","38","315","","21","651","","",".241","1.12","28.0"
"1915","White Sox","93","61","9","246","155","1401.0","4.08","2.25","0.09",".270","69.5%","","","","2.43","2.38","","21.7","","1242","509","378","14","350","","33","635","","",".239","1.14","24.9"
"1881","White Stockings","56","28","0","87","84","744.2","2.76","1.47","0.17",".274","56.4%","","","","2.43","2.81","","8.0","","722","379","201","14","122","","","228","","",".256","1.13","12.3"
"1907","Phillies","83","64","4","195","149","1299.1","3.46","2.92","0.09",".255","70.2%","","","","2.43","2.51","","12.4","","1095","481","351","13","422","","52","499","","",".230","1.17","15.5"
"1880","Reds","21","59","0","87","83","713.1","2.62","1.11","0.13",".301","46.7%","","","","2.44","2.50","","6.1","","785","472","193","10","88","","","208","","",".281","1.22","-2.3"
"1909","Phillies","74","79","6","238","154","1391.0","3.96","3.05","0.15",".261","70.8%","","","","2.44","2.57","","14.2","","1190","519","377","23","472","","40","612","","",".233","1.19","18.4"
"1914","Chi-Feds","87","67","8","244","157","1420.1","4.12","2.49","0.27",".257","70.9%","","","","2.44","2.74","","11.5","","1204","517","385","43","393","","32","650","","",".231","1.12","26.3"
"1885","Browns","79","33","0","113","112","1002.0","3.40","1.51","0.11",".262","58.6%","","","","2.44","2.78","","13.1","","879","461","272","12","168","","43","378","","",".237","1.04","26.0"
"1907","Giants","82","71","13","218","155","1371.0","4.30","2.42","0.16",".271","70.1%","","","","2.45","2.27","","18.7","","1219","511","373","25","369","","40","655","","",".240","1.16","15.7"
"1907","Americans","59","90","7","225","155","1414.0","3.29","2.14","0.14",".257","66.5%","","","","2.45","2.36","","13.5","","1222","556","385","22","337","","40","517","","",".235","1.10","17.4"
"1967","White Sox","89","73","39","454","162","1490.1","5.60","2.81","0.53",".245","76.9%","","","","2.45","3.11","","16.5","6074","1197","491","406","87","465","46","58","927","","",".216","1.12","26.8"
"1886","Quakers","71","43","2","128","119","1045.2","4.65","2.27","0.25",".271","60.1%","","","","2.45","3.19","","10.3","","923","498","285","29","264","","0","540","","",".238","1.14","22.3"
"1910","Red Sox","81","72","6","228","158","1430.0","4.22","2.61","0.19",".264","68.4%","","","","2.45","2.53","","13.8","","1236","564","390","30","414","","45","670","","",".235","1.15","16.0"
"1917","Phillies","87","65","5","219","154","1389.1","3.99","2.11","0.16",".268","70.6%","","","","2.46","2.39","","20.5","5610","1258","500","379","25","325","","36","616","","",".240","1.14","21.9"
"1879","White Stockings","46","33","0","84","83","744.0","2.55","0.69","0.06",".286","50.2%","","","","2.46","2.49","","9.2","","762","411","203","5","57","","","211","","",".266","1.10","10.8"
"1884","Metropolitans","75","32","0","114","113","985.0","5.74","1.05","0.19",".266","56.9%","","","","2.46","2.62","","13.8","","802","423","269","21","115","","25","628","","",".224","0.93","23.5"
"1910","Senators","66","85","3","200","157","1373.1","4.42","2.46","0.12",".272","67.5%","","","","2.46","2.34","","14.0","","1215","552","376","19","375","","51","674","","",".239","1.16","11.8"
"1908","Superbas","53","101","4","197","154","1369.0","3.52","2.92","0.11",".257","70.2%","","","","2.47","2.45","","8.6","","1165","514","375","17","444","","60","535","","",".232","1.18","9.2"
"1884","Beaneaters","73","38","2","123","116","1037.0","6.44","1.17","0.26",".292","58.4%","","","","2.47","2.61","","17.1","","932","468","285","30","135","","0","742","","",".242","1.03","25.8"
"1916","Red Sox","91","63","16","259","156","1410.2","3.73","2.95","0.06",".267","72.7%","","","","2.48","2.64","","14.1","5629","1221","480","388","10","463","","38","584","","",".238","1.19","22.3"
"1914","White Sox","70","84","11","281","157","1398.2","4.25","2.58","0.10",".266","66.2%","","","","2.48","2.49","","16.8","","1207","568","385","15","401","","29","660","","",".234","1.15","11.6"
"1918","Pirates","65","60","7","178","126","1140.1","2.90","2.36","0.10",".255","70.2%","","","","2.48","2.60","","13.9","4608","1005","411","314","13","299","","32","367","","",".235","1.14","18.2"
"1968","Cardinals","97","65","32","358","162","1479.1","5.91","2.28","0.50",".264","77.3%","","","","2.49","2.61","","19.8","6006","1282","472","409","82","375","62","28","971","","",".229","1.12","27.2"
"1906","Giants","96","55","18","207","152","1334.1","4.31","2.66","0.09",".277","69.5%","","","","2.49","2.42","","17.7","","1207","508","369","13","394","","25","639","","",".243","1.20","16.1"
"1886","Browns","93","46","2","144","139","1229.1","4.27","2.41","0.10",".271","59.7%","","","","2.49","3.09","","17.3","","1087","592","340","13","329","","26","583","","",".239","1.15","32.5"
"1891","Brewers","21","15","0","37","36","309.2","3.98","3.49","0.17",".279","63.3%","","","","2.50","3.21","","5.7","","291","156","86","6","120","","0","137","","",".250","1.33","9.5"
"1876","Red Caps","39","31","7","91","70","632.0","1.10","1.48","0.10",".298","46.7%","","","","2.51","2.63","","3.4","","732","450","176","7","104","","","77","","",".291","1.32","0.4"
"1910","Cubs","104","50","13","228","154","1378.2","3.98","3.09","0.12",".260","71.5%","","","","2.51","2.64","","16.2","","1171","499","384","18","474","","41","609","","",".231","1.19","26.6"
"1909","Reds","77","76","8","240","157","1407.0","3.05","3.26","0.03",".260","66.8%","","","","2.52","2.67","","9.9","","1233","599","394","5","510","","47","477","","",".237","1.24","8.8"
"1917","Indians","88","66","22","285","156","1412.2","2.87","2.79","0.11",".266","69.8%","","","","2.52","2.78","","16.7","5640","1270","542","396","17","438","","32","451","","",".246","1.21","20.6"
