,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,EV,ERA,FIP,xFIP,WAR
,Red Sox,93,69,43,625,162,1439.2,8.51,3.06,1.1,0.293,72.90%,41.50%,11.40%,88.1,4,4,4.2,18.8
,Yankees,84,78,48,645,162,1428.1,8.78,2.8,1.35,0.292,74.20%,46.90%,15.50%,88.5,4.16,4.2,3.86,18.7
,Tigers,86,75,47,637,161,1428,7.76,2.91,1.15,0.3,72.20%,44.50%,11.70%,88.4,4.24,4.16,4.31,18.5
,Indians,94,67,37,665,161,1445,8.71,2.87,1.16,0.289,73.40%,46.70%,13.70%,88.6,3.86,3.91,3.8,18.2
,Astros,84,78,44,662,162,1468,8.56,2.78,1.11,0.306,73.40%,45.20%,12.60%,88.1,4.06,3.85,3.87,17.6
,White Sox,78,84,43,643,162,1446.2,7.9,3.24,1.15,0.298,74.00%,43.10%,12.00%,88.4,4.12,4.27,4.38,17.1
,Blue Jays,89,73,43,649,162,1459.1,8.1,2.84,1.13,0.282,74.40%,46.60%,13.00%,89,3.79,4.04,4.02,16.8
,Cardinals,86,76,38,643,162,1448.1,8.02,2.95,0.99,0.304,71.80%,49.50%,12.80%,87.6,4.08,3.88,3.88,16.6
,Orioles,89,73,54,605,162,1432,7.84,3.43,1.15,0.299,73.70%,44.80%,12.60%,88.4,4.22,4.31,4.34,15.7
,Marlins,79,82,55,720,161,1435,8.65,3.73,0.95,0.303,74.00%,43.00%,10.90%,88.4,4.05,3.97,4.21,15.5
,Mariners,86,76,49,638,162,1457,8.14,2.84,1.32,0.292,74.90%,43.40%,13.80%,88.8,4,4.3,4.17,14.5
,Giants,87,75,43,737,162,1460.1,8.07,2.71,0.97,0.287,74.30%,45.30%,10.80%,88.4,3.69,3.76,4.01,14.2
,Phillies,71,91,43,667,162,1437,8.14,2.92,1.33,0.304,70.50%,41.00%,13.80%,88.6,4.64,4.34,4.21,13.9
,Athletics,69,93,42,654,162,1433.1,7.46,2.91,1.16,0.299,70.70%,46.20%,12.50%,88.9,4.51,4.24,4.28,13.7
,Rockies,75,87,37,695,162,1429.1,7.7,3.44,1.14,0.317,68.00%,49.10%,14.10%,88.4,4.92,4.38,4.23,13.1
,Rangers,95,67,56,641,162,1443,7.2,3.33,1.25,0.292,72.80%,45.50%,13.50%,88.4,4.38,4.58,4.49,12.6
,Royals,81,81,41,634,162,1440,8.04,3.23,1.29,0.298,75.40%,44.30%,13.40%,88.9,4.21,4.42,4.33,12.1
,Brewers,73,89,46,675,162,1434.1,7.37,3.34,1.12,0.3,73.10%,46.00%,12.40%,88.1,4.1,4.37,4.42,11.1
,Twins,59,103,26,695,162,1443,7.43,2.99,1.38,0.319,68.30%,43.00%,13.90%,89.5,5.09,4.57,4.42,10.7
,Rays,68,94,42,647,162,1426.1,8.56,3.1,1.33,0.297,74.20%,41.00%,13.10%,89.3,4.2,4.26,4.22,10.6
,Diamondbacks,69,93,31,737,162,1451.1,8.17,3.74,1.25,0.32,68.70%,46.00%,14.10%,89,5.09,4.5,4.34,10.1
,Braves,68,93,39,748,161,1447.2,7.63,3.4,1.1,0.293,70.20%,44.70%,11.70%,89.1,4.51,4.32,4.48,9
,Pirates,78,83,51,687,162,1450.2,7.64,3.31,1.12,0.306,72.50%,46.90%,13.00%,88.3,4.22,4.3,4.28,9
,Padres,68,94,35,672,162,1440,7.64,3.56,1.14,0.296,71.30%,46.40%,12.60%,89.1,4.44,4.4,4.42,8.6
,Angels,74,88,29,689,162,1421.1,7.19,3.15,1.32,0.301,75.00%,40.80%,12.50%,88.7,4.28,4.62,4.66,8
,Reds,68,94,28,646,162,1442,7.75,3.97,1.61,0.29,72.80%,41.60%,15.90%,88.3,4.91,5.24,4.79,1
2015,Cubs,97,65,48,714,162,1461.1,8.81,2.51,0.83,0.287,72.70%,46.60%,10.70%,87.9,3.36,3.3,3.37,22.9
,Nationals,83,79,41,630,162,1434.2,8.42,2.28,0.91,0.3,72.70%,44.70%,10.30%,87.6,3.62,3.45,3.58,22.2
,Indians,81,80,38,637,161,1432.2,8.84,2.67,1.01,0.288,72.80%,44.50%,11.70%,88.5,3.68,3.62,3.57,21.1
,Cardinals,100,62,62,677,162,1464.2,8.17,2.93,0.76,0.297,79.40%,48.00%,9.40%,87.9,2.94,3.48,3.71,20.6
,Dodgers,92,70,47,677,162,1445.2,8.69,2.46,0.9,0.296,74.70%,50.10%,12.10%,87.4,3.46,3.41,3.33,19.7
,Pirates,98,64,54,662,162,1489.2,8.08,2.74,0.66,0.302,75.00%,50.40%,9.40%,87.9,3.23,3.36,3.56,19.5
,Mets,90,72,50,647,162,1462.2,8.23,2.36,0.94,0.288,74.30%,46.30%,10.80%,87.7,3.45,3.53,3.6,19
,Astros,86,76,39,644,162,1441,7.99,2.64,0.92,0.285,73.80%,47.30%,10.90%,87.2,3.57,3.66,3.71,18.9
,Yankees,87,75,48,659,162,1457.2,8.46,2.93,1.12,0.3,73.80%,47.00%,13.60%,88.2,4.03,3.97,3.7,18.4
,White Sox,76,86,37,576,162,1452.2,8.42,2.94,1,0.311,72.90%,45.20%,11.40%,87.6,3.98,3.82,3.81,17.4
,Twins,83,79,45,682,162,1443,6.52,2.58,1.02,0.3,72.80%,44.00%,10.40%,88.7,4.07,4.1,4.23,16
,Orioles,81,81,43,615,162,1434.2,7.73,3.03,1.09,0.298,73.60%,45.20%,12.00%,88.5,4.05,4.11,4.04,15.8
,Rays,80,82,60,692,162,1453.1,8.39,2.95,1.08,0.284,75.10%,41.80%,11.20%,88.9,3.74,3.91,3.94,14.7
,Royals,95,67,56,655,162,1452,7.19,3.03,0.96,0.286,75.00%,42.80%,9.90%,88.1,3.74,4.04,4.25,13.8
,Blue Jays,93,69,34,631,162,1441,6.98,2.48,1.08,0.278,72.70%,43.70%,11.00%,88.1,3.81,4.09,4.14,13.7
,Athletics,68,94,28,649,162,1444.2,7.34,2.95,1.07,0.289,71.00%,45.00%,11.40%,88.4,4.16,4.13,4.13,13
,Marlins,71,91,35,648,162,1427,7.27,3.2,0.89,0.294,72.30%,44.50%,9.50%,88.5,4.04,3.98,4.23,12.2
,Angels,85,77,46,680,162,1440.2,7.63,2.91,1.04,0.285,73.30%,41.50%,10.00%,88.1,3.94,4.06,4.26,12.2
,Red Sox,78,84,40,637,162,1448.1,7.57,2.97,1.11,0.305,71.60%,44.10%,11.60%,88.1,4.34,4.17,4.14,11.8
,Tigers,74,87,35,666,161,1447,6.84,3.04,1.2,0.298,69.70%,42.90%,12.00%,88.5,4.64,4.46,4.36,11.7
,Rangers,88,74,45,660,162,1442.2,6.83,3.17,1.07,0.294,72.40%,44.20%,11.20%,88.4,4.25,4.34,4.37,11
,Reds,64,98,35,683,162,1453.1,7.75,3.37,1.1,0.297,71.70%,44.10%,12.10%,88.2,4.35,4.24,4.14,10.8
,Diamondbacks,79,83,44,712,162,1466.2,7.46,3.07,1.12,0.294,73.70%,45.70%,12.30%,88.9,4.05,4.21,4.09,10.6
,Phillies,63,99,35,665,162,1436.1,7.22,3.06,1.2,0.316,71.10%,44.00%,12.20%,88.8,4.69,4.4,4.29,10.3
,Brewers,68,94,40,658,162,1435,7.9,3.24,1.1,0.303,72.10%,46.10%,12.70%,87.9,4.28,4.17,4,9.9
,Padres,74,88,41,678,162,1440.1,8.7,3.22,1.07,0.303,71.10%,46.90%,13.30%,88.3,4.09,3.93,3.71,9.7
,Mariners,76,86,45,671,162,1463,7.89,3.02,1.11,0.298,72.80%,46.30%,12.50%,88.6,4.16,4.14,3.99,9.1
,Giants,84,78,41,719,162,1444.1,7.26,2.69,0.97,0.283,74.50%,46.00%,10.80%,88.3,3.73,3.92,3.99,8.8
,Rockies,68,94,36,746,162,1426.1,7.02,3.65,1.15,0.318,69.90%,47.70%,13.20%,88.5,5.04,4.56,4.33,8.3
,Braves,67,95,44,694,162,1425.1,7.25,3.47,1.07,0.305,71.40%,43.40%,11.30%,88.6,4.41,4.34,4.36,7
2014,Nationals,96,66,45,620,162,1470.2,7.88,2.15,0.67,0.294,74.90%,44.80%,7.50%,,3.03,3.18,3.43,24.3
,Cubs,73,89,37,699,162,1463.1,8.06,3.1,0.71,0.304,69.60%,44.00%,8.00%,,3.92,3.51,3.7,20.5
,Indians,85,77,40,735,162,1468.1,8.89,2.84,0.83,0.309,73.20%,46.70%,10.00%,,3.57,3.42,3.36,20.3
,Tigers,90,72,41,635,162,1454,7.7,2.86,0.79,0.312,70.70%,44.20%,8.30%,,4.01,3.6,3.76,19.7
,Dodgers,94,68,47,658,162,1464.2,8.44,2.64,0.87,0.292,74.00%,47.80%,10.80%,,3.4,3.48,3.33,19.5
,Braves,79,83,54,634,162,1455,8.05,2.92,0.75,0.3,75.00%,42.70%,8.30%,,3.38,3.47,3.63,18.6
,Yankees,84,78,48,637,162,1453,8.49,2.47,1.02,0.298,73.30%,43.70%,11.30%,,3.75,3.67,3.43,17.5
,Athletics,88,74,31,603,162,1463.1,7.65,2.5,0.9,0.272,75.90%,45.60%,10.00%,,3.22,3.67,3.6,17.4
,Royals,89,73,53,613,162,1450.2,7.25,2.73,0.79,0.292,73.90%,43.10%,8.20%,,3.51,3.69,3.88,17.2
,Marlins,77,85,42,649,162,1457.2,7.35,2.83,0.7,0.31,71.90%,46.90%,8.00%,,3.79,3.56,3.75,16.7
,Phillies,73,89,40,623,162,1468.1,7.69,3.19,0.82,0.295,72.20%,46.40%,9.40%,,3.81,3.81,3.83,16.6
,Cardinals,90,72,55,647,162,1448.2,7.59,2.92,0.76,0.286,74.40%,45.40%,8.60%,,3.5,3.65,3.77,15.9
,Angels,98,64,46,705,162,1482.2,8.15,3.06,0.76,0.285,73.30%,41.70%,8.00%,,3.58,3.57,3.78,14.5
