,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,EV,ERA,FIP,xFIP,WAR
,Twins,70,92,38,653,162,1435,6.47,2.56,0.92,0.315,68.90%,41.80%,8.60%,,4.58,3.97,4.12,14.3
,Blue Jays,83,79,45,611,162,1443,7.48,3.06,0.94,0.294,72.70%,42.90%,9.40%,,4,3.97,3.99,14.2
,Rays,77,85,37,656,162,1463.2,8.84,2.96,0.89,0.286,74.10%,40.80%,9.10%,,3.56,3.56,3.62,14.1
,Mariners,87,75,51,659,162,1452,8.16,2.87,0.85,0.275,76.80%,45.40%,9.90%,,3.17,3.61,3.57,13.6
,Orioles,96,66,53,641,162,1461.1,7.23,2.91,0.93,0.28,77.00%,43.80%,9.80%,,3.44,3.96,3.92,12.9
,Reds,76,86,44,590,162,1446,8.03,3.16,1.01,0.277,76.50%,45.10%,11.60%,,3.59,4.01,3.75,12.8
,Mets,79,83,42,651,162,1463.2,8.01,3.13,0.87,0.295,75.70%,45.80%,9.90%,,3.49,3.75,3.7,12.7
,Padres,77,85,41,643,162,1438.2,8.03,2.89,0.73,0.289,74.90%,45.20%,8.60%,,3.27,3.46,3.57,12.2
,Brewers,82,80,45,640,162,1457.2,7.69,2.66,1.03,0.289,74.00%,45.60%,11.30%,,3.67,3.89,3.65,10.9
,White Sox,73,89,36,615,162,1441,7.2,3.48,0.87,0.306,70.40%,46.10%,9.40%,,4.3,4.1,4.11,10.7
,Red Sox,71,91,36,655,162,1465.2,7.45,2.96,0.95,0.301,71.80%,43.60%,9.90%,,4.01,3.93,3.87,10.6
,Astros,70,92,31,600,162,1438.2,7.11,3.03,0.87,0.299,70.30%,46.40%,9.60%,,4.14,3.93,3.91,9.9
,Giants,88,74,46,637,162,1449,7.52,2.42,0.83,0.282,72.70%,45.90%,9.40%,,3.5,3.58,3.59,9.4
,Rangers,67,95,33,638,162,1426.1,7,3.19,1.01,0.31,70.40%,39.50%,9.30%,,4.49,4.22,4.26,9.3
,Pirates,88,74,48,614,162,1456.1,7.59,3.08,0.79,0.29,74.20%,50.50%,10.30%,,3.49,3.8,3.71,8.2
,Diamondbacks,64,98,35,650,162,1444.1,7.96,2.92,0.96,0.312,70.30%,46.10%,11.10%,,4.26,3.83,3.63,8.2
,Rockies,66,96,24,709,162,1431,6.75,3.34,1.09,0.307,69.20%,47.70%,12.70%,,4.86,4.43,4.04,7.2
2013,Tigers,93,69,39,590,162,1462.2,8.79,2.84,0.79,0.306,73.70%,45.40%,9.20%,,3.61,3.27,3.43,26.3
,Rangers,91,72,46,638,163,1463.1,8.05,3.06,0.97,0.293,75.50%,42.80%,10.70%,,3.63,3.77,3.75,21.2
,Dodgers,92,70,46,666,162,1450.1,8.02,2.85,0.79,0.291,75.40%,47.10%,9.90%,,3.25,3.45,3.52,20.6
,Mets,74,88,40,697,162,1476.2,7.37,2.79,0.93,0.295,72.90%,44.50%,10.00%,,3.78,3.79,3.86,18.1
,Reds,90,72,43,623,162,1473.2,7.91,2.66,1.04,0.273,77.50%,44.10%,11.50%,,3.38,3.81,3.68,18
,Braves,96,66,53,628,162,1450.1,7.65,2.54,0.79,0.288,77.00%,45.80%,9.40%,,3.18,3.44,3.58,17.9
,Royals,86,76,52,589,162,1448.1,7.51,2.91,0.96,0.29,76.90%,41.80%,10.00%,,3.45,3.83,3.9,17.5
,Cardinals,97,65,44,645,162,1459.2,7.73,2.78,0.69,0.297,74.50%,48.50%,8.50%,,3.43,3.39,3.63,17.3
,Nationals,86,76,47,602,162,1445.2,7.69,2.52,0.88,0.291,73.60%,45.00%,9.80%,,3.59,3.55,3.64,17.3
,Pirates,94,68,55,627,162,1470.2,7.72,3.15,0.62,0.285,75.00%,52.50%,8.90%,,3.27,3.42,3.58,16.8
,Indians,92,70,38,702,162,1441.1,8.61,3.46,0.92,0.302,74.20%,44.50%,10.70%,,3.82,3.73,3.71,16.8
,Athletics,96,66,46,609,162,1452,7.33,2.65,1.01,0.276,74.80%,39.50%,9.20%,,3.56,3.83,4.05,16.6
,Rockies,74,88,35,665,162,1436,6.67,3.24,0.85,0.314,70.20%,47.40%,10.00%,,4.44,3.96,4.02,16.4
,Red Sox,97,65,33,612,162,1454,8.01,3.24,0.97,0.294,74.50%,42.90%,10.20%,,3.79,3.84,3.89,15.8
,Mariners,71,91,43,610,162,1465,7.97,2.94,1.07,0.303,70.70%,45.30%,11.80%,,4.32,3.89,3.72,15.7
,White Sox,63,99,40,632,162,1455,7.73,3.15,1.13,0.295,73.10%,43.30%,11.50%,,4,4.13,3.98,15.3
,Yankees,85,77,49,590,162,1447.1,7.67,2.72,1.06,0.302,74.60%,44.00%,11.50%,,3.94,3.89,3.76,14.8
,Marlins,62,100,36,633,162,1460,7.26,3.24,0.75,0.292,73.20%,45.30%,8.40%,,3.71,3.69,3.96,14.6
,Rays,92,71,42,648,163,1464,8.05,2.96,0.94,0.284,73.60%,44.60%,10.60%,,3.74,3.71,3.71,14.5
,Phillies,73,89,32,628,162,1436.1,7.51,3.17,0.95,0.306,70.50%,44.50%,10.10%,,4.34,3.94,4,13.7
,Twins,66,96,40,673,162,1450.1,6.11,2.84,1.04,0.309,70.20%,43.70%,10.20%,,4.55,4.23,4.28,11.5
,Cubs,66,96,39,651,162,1448,7.36,3.36,0.99,0.279,72.80%,42.40%,10.30%,,4,4.1,4.13,11.3
,Orioles,85,77,57,635,162,1453,7.24,2.93,1.25,0.291,74.60%,42.20%,12.90%,,4.2,4.33,3.99,11.1
,Angels,78,84,41,658,162,1457.2,7.41,3.29,1.03,0.3,72.30%,42.10%,10.40%,,4.24,4.08,4.1,10.1
,Blue Jays,74,88,39,649,162,1452,7.49,3.1,1.21,0.293,72.30%,44.00%,12.30%,,4.26,4.3,4.04,9.5
,Diamondbacks,81,81,38,689,162,1495,7.33,2.92,1.06,0.292,74.50%,46.00%,12.20%,,3.92,4.04,3.83,8.5
,Padres,76,86,40,650,162,1455,7.24,3.25,0.96,0.292,72.50%,45.80%,10.80%,,3.98,4,3.96,8.4
,Giants,76,86,41,686,162,1447.1,7.81,3.24,0.9,0.295,72.10%,42.10%,9.90%,,4,3.8,3.89,7.1
,Brewers,74,88,40,663,162,1442.2,7.02,2.91,1.09,0.286,73.50%,44.40%,11.90%,,3.84,4.12,3.94,5.3
,Astros,51,111,32,610,162,1440,6.78,3.85,1.19,0.303,70.00%,43.90%,11.80%,,4.79,4.67,4.48,2.2
2012,Tigers,88,74,40,582,162,1430.2,8.29,2.76,0.95,0.307,72.70%,43.40%,10.50%,,3.77,3.63,3.74,24.5
,Rangers,93,69,43,590,162,1442,8.03,2.78,1.09,0.292,71.50%,43.90%,11.60%,,4.02,3.9,3.86,22.2
,Dodgers,86,76,40,668,162,1449.2,7.92,3.35,0.76,0.283,74.80%,45.50%,8.90%,,3.35,3.64,3.93,20.8
,Rays,90,72,50,634,162,1459.2,8.53,2.89,0.86,0.277,75.50%,47.90%,10.70%,,3.19,3.51,3.59,20.4
,Phillies,81,81,42,602,162,1451.1,8.59,2.54,1.1,0.298,72.90%,43.50%,12.10%,,3.86,3.72,3.61,19.8
,Athletics,94,68,47,624,162,1470,6.96,2.83,0.9,0.279,75.40%,41.70%,9.10%,,3.5,3.89,4.2,19.5
,Nationals,98,64,51,644,162,1468.1,8.12,3.05,0.79,0.282,75.10%,46.30%,9.20%,,3.34,3.54,3.8,19.5
,Reds,97,65,56,587,162,1453,7.73,2.64,0.94,0.288,76.90%,45.90%,10.70%,,3.34,3.72,3.8,18.7
,Mariners,75,87,43,613,162,1456.2,7.2,2.77,1.03,0.282,74.20%,42.90%,10.60%,,3.76,4,4.09,17.6
,Yankees,95,67,51,647,162,1445.1,8.21,2.68,1.18,0.296,75.10%,44.90%,13.00%,,3.85,3.98,3.75,17
,Cardinals,88,74,42,668,162,1462.2,7.49,2.68,0.82,0.298,73.20%,48.50%,10.40%,,3.71,3.62,3.72,16.2
,White Sox,85,77,37,628,162,1445.2,7.76,3.13,1.16,0.288,75.20%,42.70%,12.10%,,4.02,4.23,4.12,16.2
,Orioles,93,69,55,654,162,1483,7.14,2.92,1.12,0.285,73.80%,44.70%,11.70%,,3.9,4.2,4.14,16
,Diamondbacks,81,81,39,623,162,1433.2,7.53,2.62,0.97,0.301,72.00%,46.10%,11.00%,,3.94,3.81,3.84,15.3
,Royals,72,90,44,662,162,1451.1,7.3,3.36,1.01,0.311,72.40%,43.20%,10.50%,,4.3,4.18,4.29,15.1
,Mets,74,88,36,667,162,1434,7.78,3.06,1.01,0.29,71.10%,42.60%,10.50%,,4.09,3.93,4.04,14.3
,Brewers,83,79,44,674,162,1453.2,8.68,3.25,1.05,0.313,72.10%,43.80%,12.10%,,4.22,3.82,3.73,14.3
,Pirates,79,83,45,645,162,1433.1,7.48,3.08,0.96,0.286,72.60%,46.60%,11.00%,,3.91,3.94,3.97,13.7
,Marlins,69,93,38,645,162,1440.2,6.95,3.09,0.83,0.3,70.30%,45.00%,9.20%,,4.1,3.89,4.17,13.5
,Indians,68,94,43,656,162,1442,6.78,3.39,1.09,0.3,67.60%,45.90%,11.40%,,4.79,4.4,4.39,12.6
,Braves,94,68,47,622,162,1445.1,7.67,2.89,0.9,0.284,75.40%,47.20%,10.80%,,3.42,3.74,3.8,11.4
,Giants,94,68,53,688,162,1451,7.67,3.03,0.88,0.289,73.60%,46.00%,9.90%,,3.68,3.78,3.95,10.9
,Angels,89,73,38,606,162,1433.1,7.26,3.03,1.17,0.277,72.60%,43.90%,12.10%,,4.02,4.26,4.15,10.4
,Astros,55,107,31,703,162,1423.1,7.4,3.41,1.09,0.306,70.00%,47.90%,12.20%,,4.57,4.27,4.15,9.3
,Rockies,64,98,36,737,162,1422,7.24,3.58,1.25,0.325,68.90%,45.20%,13.70%,,5.22,4.59,4.28,9.2
,Padres,76,86,43,691,162,1434.2,7.56,3.38,1.02,0.284,71.80%,47.50%,11.70%,,4.01,4.11,4.05,7.8
,Blue Jays,73,89,29,657,162,1443.2,7.12,3.58,1.27,0.291,72.00%,46.50%,14.10%,,4.64,4.66,4.3,6.9
,Red Sox,69,93,35,651,162,1443,7.33,3.3,1.19,0.296,69.60%,46.40%,13.20%,,4.72,4.41,4.16,6.4
,Twins,66,96,35,661,162,1438.2,5.9,2.91,1.24,0.294,68.80%,45.70%,12.70%,,4.77,4.66,4.46,5.9
,Cubs,61,101,28,655,162,1413.2,7.18,3.65,1.11,0.291,71.30%,43.20%,11.80%,,4.51,4.46,4.39,4.4
2011,Phillies,102,60,47,556,162,1477,7.92,2.46,0.73,0.286,77.50%,46.50%,8.30%,,3.02,3.24,3.41,29.5
,White Sox,79,83,42,572,162,1460,7.52,2.71,0.91,0.303,71.30%,44.20%,9.40%,,4.1,3.66,3.69,23.2
,Dodgers,82,79,40,622,161,1432,7.95,3.19,0.83,0.285,74.10%,42.80%,8.80%,,3.56,3.61,3.72,20
,Rangers,96,66,38,579,162,1441.1,7.36,2.88,1.06,0.278,72.50%,42.60%,10.70%,,3.79,3.98,3.83,19.2
,Athletics,74,88,39,622,162,1447.2,7.21,3.23,0.85,0.289,72.10%,44.10%,8.50%,,3.71,3.8,3.98,18
,Indians,80,82,38,645,162,1453.1,6.34,2.87,0.95,0.293,69.50%,45.40%,9.50%,,4.24,4.06,4.09,17.7
,Mariners,67,95,39,513,162,1433,6.83,2.74,0.91,0.285,71.40%,43.80%,9.10%,,3.91,3.84,3.92,17.4
,Yankees,97,65,47,627,162,1458.1,7.54,3.13,0.94,0.297,75.00%,44.20%,9.90%,,3.73,3.87,3.84,17.3
,Giants,86,76,52,642,162,1468,8.07,3.43,0.59,0.283,74.40%,46.40%,6.90%,,3.21,3.33,3.66,17.3
,Rays,91,71,32,600,162,1449,7.1,3.13,1,0.265,75.50%,42.10%,9.80%,,3.58,4.03,4.01,16.8
,Brewers,96,66,47,596,162,1441.2,7.85,2.75,0.92,0.288,73.20%,44.70%,9.70%,,3.64,3.59,3.58,16.8
,Tigers,95,67,52,583,162,1440,6.97,3.08,0.93,0.292,71.10%,44.50%,9.30%,,4.04,3.96,4,16.7
,Marlins,72,90,40,670,162,1459.2,7.51,3.08,0.92,0.292,71.50%,44.60%,9.60%,,3.95,3.79,3.8,15.3
,Padres,71,91,44,651,162,1449.1,7.07,3.24,0.78,0.283,74.50%,44.00%,8.20%,,3.43,3.73,3.93,15.1
,Angels,86,76,39,548,162,1465,6.5,2.92,0.87,0.282,74.50%,44.90%,8.80%,,3.57,3.89,4.01,15
,Red Sox,90,72,36,606,162,1457.1,7.49,3.33,0.96,0.285,70.80%,42.30%,9.10%,,4.2,4.05,4.13,14.3
,Braves,89,73,52,672,162,1479.2,8.1,3.17,0.76,0.288,75.20%,47.50%,9.20%,,3.49,3.49,3.54,14.2
,Rockies,73,89,41,679,162,1447.2,6.95,3.25,1.09,0.298,70.60%,46.10%,11.60%,,4.44,4.24,3.98,13.6
,Cardinals,90,72,47,630,162,1462,6.76,2.76,0.84,0.296,71.60%,47.70%,9.30%,,3.79,3.75,3.79,12
,Mets,77,85,43,676,162,1448,7,3.19,0.91,0.299,71.20%,46.10%,9.40%,,4.19,4,4.04,11.9
,Diamondbacks,94,68,58,625,162,1443.1,6.6,2.76,0.99,0.286,73.90%,41.90%,9.50%,,3.8,4.02,4.05,11.8
,Nationals,80,81,49,664,161,1449.1,6.51,2.96,0.8,0.287,73.60%,44.60%,8.20%,,3.58,3.83,4.04,11.6
,Cubs,71,91,40,657,162,1434.1,7.68,3.64,1.02,0.301,71.30%,43.00%,10.30%,,4.34,4.11,4.02,11
,Blue Jays,81,81,33,636,162,1458.2,7.21,3.33,1.1,0.29,71.60%,44.40%,11.30%,,4.33,4.29,4.06,10.7
,Royals,71,91,37,582,162,1451.1,6.7,3.45,1.01,0.299,71.50%,43.90%,9.90%,,4.45,4.27,4.24,10.7
,Pirates,72,90,43,711,162,1449.1,6.4,3.32,0.94,0.3,73.70%,45.60%,9.80%,,4.05,4.2,4.18,8.5
,Twins,63,99,32,619,162,1421.2,5.95,3.04,1.02,0.307,69.10%,44.00%,9.50%,,4.6,4.3,4.33,7.7
,Reds,79,83,39,663,162,1467.2,6.82,3.31,1.13,0.282,73.70%,44.80%,11.50%,,4.16,4.37,4.11,6.2
,Astros,56,106,25,665,162,1435,7.47,3.51,1.18,0.301,70.80%,43.20%,12.00%,,4.51,4.35,4.02,5.6
,Orioles,69,93,32,640,162,1446.2,6.49,3.33,1.31,0.302,69.50%,43.10%,12.10%,,4.92,4.67,4.29,4.9
2010,White Sox,88,74,43,569,162,1446.1,7.15,3.05,0.85,0.305,71.50%,44.90%,8.40%,,4.09,3.8,3.94,24
,Rockies,83,79,35,675,162,1442,7.7,3.28,0.87,0.302,70.80%,46.50%,9.60%,,4.14,3.83,3.8,21.6
,Rangers,90,72,46,643,162,1455.1,7.3,3.41,1,0.28,73.60%,41.50%,9.30%,,3.93,4.17,4.19,19.3
,Giants,92,70,57,638,162,1461,8.2,3.56,0.83,0.282,77.00%,42.00%,8.00%,,3.36,3.74,3.94,18.4
,Tigers,81,81,32,578,162,1444.1,6.58,3.35,0.88,0.296,70.60%,43.80%,8.30%,,4.29,4.14,4.31,18
,Twins,94,68,40,627,162,1452.2,6.49,2.37,0.96,0.299,73.40%,44.70%,9.20%,,3.95,3.91,3.93,17.3
,Dodgers,80,82,41,637,162,1441.2,7.95,3.36,0.84,0.287,70.90%,44.60%,8.60%,,4.01,3.76,3.87,16.8
,Phillies,97,65,40,613,162,1456.1,7.31,2.57,1.04,0.289,75.30%,46.50%,10.60%,,3.68,3.93,3.75,16.6
,Yankees,95,67,39,592,162,1442.1,7.2,3.37,1.12,0.281,74.00%,43.90%,10.70%,,4.06,4.34,4.15,16.4
,Padres,90,72,49,661,162,1456.1,8,3.2,0.86,0.286,76.70%,46.00%,9.30%,,3.41,3.66,3.67,16.3
,Rays,96,66,51,653,162,1453.2,7.36,2.96,1.08,0.278,75.20%,41.30%,9.90%,,3.78,4.09,4,16.3
,Marlins,80,82,39,643,162,1438.1,7.31,3.44,0.84,0.301,71.30%,43.60%,8.10%,,4.09,3.92,4.11,16.1
,Mariners,61,101,38,520,162,1438,6.09,2.83,0.98,0.279,71.40%,43.40%,9.00%,,3.95,4.17,4.23,15.7
,Red Sox,89,73,44,605,162,1456.2,7.46,3.58,0.94,0.292,70.80%,43.60%,9.00%,,4.19,4.08,4.13,15.7
,Braves,91,71,41,652,162,1439.1,7.76,3.16,0.79,0.29,73.40%,49.90%,9.30%,,3.57,3.65,3.65,15.6
,Astros,76,86,45,669,162,1439.1,7.57,3.43,0.88,0.305,71.00%,44.30%,8.80%,,4.09,3.89,3.97,15.5
,Blue Jays,85,77,45,617,162,1440.2,7.4,3.37,0.94,0.297,71.20%,45.70%,9.50%,,4.23,4.04,4.03,15.3
,Mets,79,83,36,653,162,1453,6.85,3.38,0.84,0.296,74.90%,44.80%,8.40%,,3.73,4,4.14,14.1
,Cubs,75,87,40,644,162,1436.2,7.94,3.79,0.96,0.298,70.40%,43.30%,9.50%,,4.24,4.11,4.08,13.8
,Athletics,81,81,38,585,162,1431.2,6.73,3.22,0.96,0.274,75.10%,46.10%,9.70%,,3.58,4.13,4.08,13.7
,Angels,80,82,39,572,162,1449.1,7.02,3.51,0.92,0.292,72.90%,42.60%,8.50%,,4.04,4.11,4.24,13.5
,Reds,91,71,43,664,162,1453,7,3.25,0.98,0.288,73.60%,42.90%,9.40%,,4.02,4.12,4.13,12.8
,Cardinals,86,76,32,617,162,1453.2,6.77,2.95,0.82,0.292,74.00%,49.50%,9.20%,,3.57,3.85,3.87,11.4
,Nationals,69,93,37,656,162,1435,6.7,3.21,0.95,0.297,70.80%,44.50%,9.40%,,4.13,4.12,4.13,10.4
,Orioles,66,96,35,616,162,1436.1,6.31,3.26,1.17,0.294,71.30%,42.10%,10.20%,,4.59,4.57,4.44,9.8
,Indians,69,93,34,632,162,1433,6.07,3.59,0.92,0.297,71.40%,47.90%,9.30%,,4.3,4.4,4.41,9.7
,Royals,67,95,44,603,162,1436.2,6.48,3.45,1.1,0.304,68.60%,42.50%,9.80%,,4.97,4.48,4.41,9.3
,Brewers,77,85,35,657,162,1439,7.87,3.64,1.08,0.308,70.00%,41.80%,10.30%,,4.59,4.21,4.07,7.4
,Pirates,57,105,31,679,162,1411.2,6.54,3.43,1.06,0.311,67.40%,44.00%,10.00%,,5,4.45,4.35,6.4
,Diamondbacks,65,97,35,616,162,1432,6.72,3.44,1.32,0.296,70.10%,41.80%,12.00%,,4.81,4.76,4.35,2.7
2009,Rockies,92,70,45,646,162,1438.1,7.22,3.3,0.88,0.299,71.30%,47.30%,9.90%,,4.24,3.96,3.99,21
,White Sox,79,83,36,577,162,1439.2,7,3.17,1.06,0.294,71.70%,44.30%,10.30%,,4.16,4.21,4.19,20.2
,Giants,88,74,41,619,162,1446,8.1,3.63,0.87,0.279,75.50%,43.00%,9.10%,,3.55,3.85,3.99,19.7
,Braves,86,76,38,650,162,1462.2,7.58,3.26,0.73,0.299,73.80%,46.40%,8.10%,,3.57,3.66,3.91,19.7
,Yankees,103,59,51,623,162,1450,7.82,3.56,1.12,0.29,71.90%,42.30%,11.10%,,4.28,4.32,4.17,19.3
,Dodgers,95,67,44,688,162,1473.1,7.77,3.57,0.78,0.275,74.90%,43.70%,8.10%,,3.41,3.8,4.07,18.6
,Cubs,83,78,40,641,161,1445.1,7.92,3.65,1,0.285,74.40%,42.80%,10.00%,,3.84,4.11,4.14,18.5
,Red Sox,95,67,41,625,162,1436.2,7.71,3.32,1.05,0.309,73.00%,40.90%,9.40%,,4.35,4.14,4.25,18.5
,Athletics,75,87,38,650,162,1447.1,6.99,3.25,0.97,0.302,70.30%,44.10%,9.20%,,4.29,4.1,4.24,18
,Cardinals,91,71,43,643,162,1440.2,6.55,2.87,0.77,0.292,73.20%,49.80%,8.70%,,3.66,3.82,4,17.5
,Mariners,85,77,49,572,162,1452.2,6.46,3.31,1.07,0.272,73.40%,41.20%,9.70%,,3.87,4.39,4.46,17.5
,Tigers,86,77,42,602,163,1447,6.85,3.69,1.13,0.293,73.20%,42.70%,10.60%,,4.34,4.53,4.45,17
,Blue Jays,75,87,25,607,162,1451,7.33,3.42,1.12,0.308,72.20%,45.00%,11.60%,,4.47,4.35,4.13,15.6
,Rangers,87,75,45,598,162,1434.2,6.37,3.33,1.07,0.288,72.10%,42.50%,10.00%,,4.38,4.49,4.5,14.9
,Royals,65,97,34,588,162,1426,7.28,3.79,1.05,0.307,68.00%,43.80%,10.00%,,4.83,4.36,4.38,14.9
,Marlins,87,75,45,692,162,1446.1,7.77,3.74,1,0.298,70.70%,43.30%,9.90%,,4.32,4.15,4.18,14.1
,Angels,97,65,51,596,162,1445,6.61,3.26,1.12,0.301,72.40%,41.70%,10.10%,,4.45,4.45,4.46,13.7
,Diamondbacks,70,92,36,645,162,1447.2,7.2,3.26,1.04,0.298,69.80%,43.20%,10.30%,,4.44,4.2,4.17,13.5
,Pirates,62,99,28,617,161,1418.1,5.83,3.57,0.96,0.3,70.60%,43.80%,9.10%,,4.59,4.48,4.63,12.6
,Twins,87,76,48,643,163,1453,6.52,2.89,1.15,0.301,72.00%,40.90%,9.70%,,4.5,4.39,4.45,12.5
,Rays,84,78,41,672,162,1427.1,7.09,3.25,1.15,0.289,71.20%,41.50%,10.50%,,4.36,4.37,4.3,12.4
,Phillies,93,69,44,621,162,1455.2,7.13,3.02,1.17,0.296,75.00%,40.80%,11.00%,,4.16,4.36,4.22,12.4
,Astros,74,88,39,659,162,1430,7.2,3.44,1.11,0.311,72.00%,45.60%,11.50%,,4.54,4.35,4.16,11.6
,Padres,75,87,45,689,162,1450.2,7.36,3.74,1.04,0.294,70.90%,43.50%,10.10%,,4.37,4.3,4.29,11.1
,Mets,70,92,39,673,162,1426,6.51,3.89,1,0.292,71.80%,42.50%,9.10%,,4.46,4.5,4.66,10.4
,Indians,65,97,25,607,162,1434,6.19,3.75,1.15,0.305,68.90%,43.10%,10.30%,,5.07,4.73,4.69,9.9
,Reds,78,84,41,640,162,1458.1,6.6,3.56,1.16,0.283,74.40%,42.10%,10.90%,,4.18,4.63,4.5,8.2
,Orioles,64,98,31,646,162,1429,5.88,3.44,1.37,0.307,70.30%,41.70%,11.60%,,5.16,5.03,4.78,6.8
,Brewers,80,82,44,674,162,1435,6.92,3.81,1.3,0.295,71.90%,42.60%,12.00%,,4.84,4.84,4.54,5.2
,Nationals,59,103,33,694,162,1424.1,5.76,3.97,1.09,0.296,67.90%,44.40%,10.30%,,5.02,4.82,4.8,4.9
2008,White Sox,89,74,34,626,163,1457.2,7.08,2.84,0.96,0.298,71.00%,45.50%,10.00%,,4.11,4,4.01,24.1
,Diamondbacks,82,80,39,606,162,1434.2,7.71,2.83,0.92,0.297,70.90%,45.30%,9.90%,,3.99,3.84,3.87,22.9
,Blue Jays,86,76,44,583,162,1446.2,7.37,2.91,0.83,0.284,74.80%,46.60%,9.30%,,3.49,3.81,3.92,22.3
,Cubs,97,64,44,639,161,1450.2,7.84,3.4,0.99,0.281,74.00%,41.60%,9.80%,,3.87,4.09,4.14,20.6
,Dodgers,84,78,35,623,162,1447.1,7.49,2.98,0.76,0.295,72.60%,49.60%,9.30%,,3.68,3.67,3.77,20
,Rockies,74,88,36,647,162,1446,6.48,3.5,0.92,0.309,68.50%,46.80%,10.00%,,4.77,4.3,4.32,19.5
,Rays,97,65,52,610,162,1457.2,7.06,3.25,1.02,0.277,74.00%,40.80%,9.30%,,3.82,4.22,4.35,19.2
,Red Sox,95,67,47,628,162,1446.1,7.37,3.41,0.91,0.289,72.60%,43.50%,9.20%,,4.01,4.09,4.23,18.4
,Angels,100,62,66,545,162,1451.1,6.86,2.83,0.99,0.296,73.00%,44.30%,9.80%,,4,4.12,4.17,17.5
,Yankees,89,73,42,637,162,1441.2,7.12,3.05,0.89,0.307,71.00%,45.70%,9.30%,,4.28,3.96,4.08,16.9
,Royals,75,87,44,601,162,1445.2,6.75,3.21,0.99,0.298,69.10%,41.90%,9.20%,,4.5,4.21,4.36,16.7
,Marlins,84,77,36,672,161,1435.1,7.07,3.67,1.01,0.29,70.60%,41.70%,9.80%,,4.44,4.37,4.42,15.1
,Phillies,92,70,47,630,162,1449.2,6.71,3.31,0.99,0.292,74.80%,44.80%,10.80%,,3.89,4.3,4.21,14.9
,Giants,72,90,41,640,162,1442,7.74,4.07,0.92,0.3,71.40%,39.20%,8.80%,,4.38,4.24,4.44,14.8
,Brewers,90,72,45,607,162,1455.2,6.86,3.26,1.08,0.285,74.50%,45.40%,11.70%,,3.87,4.34,4.14,14.6
,Athletics,75,86,33,602,161,1435,6.65,3.61,0.85,0.287,72.20%,41.20%,8.00%,,4.01,4.19,4.53,14.6
,Indians,81,81,31,561,162,1437,6.18,2.78,1.06,0.301,70.70%,44.70%,10.50%,,4.46,4.33,4.28,13.2
,Mets,89,73,43,719,162,1464.1,7.26,3.63,1,0.289,73.60%,43.10%,10.50%,,4.07,4.32,4.26,13
,Twins,88,75,42,648,163,1459,6.14,2.5,1.13,0.301,72.00%,42.00%,10.20%,,4.18,4.3,4.29,12.8
,Padres,63,99,30,653,162,1458.1,6.79,3.46,1.02,0.294,70.90%,42.40%,10.10%,,4.41,4.33,4.33,12.7
,Astros,86,75,48,649,161,1425.1,6.91,3.11,1.24,0.293,72.80%,43.30%,12.10%,,4.39,4.53,4.24,11.4
,Pirates,67,95,34,659,162,1455,5.96,4.06,1.09,0.311,69.50%,44.00%,10.80%,,5.1,4.84,4.74,10.3
,Mariners,61,101,36,631,162,1435.1,6.37,3.93,1.01,0.307,70.70%,44.70%,9.80%,,4.73,4.59,4.64,9.4
,Rangers,79,83,36,619,162,1442,6.01,3.9,1.1,0.315,65.60%,43.20%,10.20%,,5.37,4.83,4.82,9.2
,Cardinals,86,76,42,668,162,1454,5.92,3.07,1.01,0.295,72.90%,45.30%,10.30%,,4.2,4.4,4.37,9.1
,Reds,74,88,34,669,162,1442.1,7.66,3.48,1.25,0.312,72.50%,42.70%,12.70%,,4.55,4.54,4.18,9.1
,Tigers,74,88,34,602,162,1445,6.17,4.01,1.07,0.302,69.40%,42.00%,9.70%,,4.91,4.79,4.86,8.3
,Braves,72,90,26,707,162,1440.2,6.72,3.66,0.97,0.293,69.70%,48.30%,11.40%,,4.47,4.35,4.2,7.9
,Nationals,59,102,28,678,161,1434,6.67,3.69,1.19,0.296,70.10%,42.40%,11.60%,,4.66,4.71,4.49,7.9
,Orioles,68,93,35,653,161,1422,5.84,4.35,1.16,0.298,70.10%,44.60%,10.70%,,5.15,5.14,5.04,3.4
2007,Padres,89,74,45,648,163,1484.2,6.89,2.87,0.72,0.287,71.60%,45.80%,7.40%,,3.72,3.81,4.13,22.7
,Indians,96,66,49,557,162,1462.2,6.44,2.52,0.9,0.302,71.90%,45.30%,8.70%,,4.05,4.06,4.21,20.5
,Angels,94,68,43,558,162,1435,7.25,2.99,0.95,0.307,71.10%,42.20%,8.60%,,4.23,4.1,4.26,20
,Dodgers,82,80,43,645,162,1450,7.35,3.22,0.91,0.301,70.90%,45.50%,9.60%,,4.2,4.07,4.07,20
,Brewers,83,79,49,654,162,1444.1,7.32,3.16,1,0.308,70.20%,41.50%,9.20%,,4.44,4.22,4.29,18.8
,Red Sox,96,66,45,613,162,1438.2,7.19,3.02,0.94,0.284,73.50%,42.60%,8.70%,,3.87,4.14,4.28,18.4
,Cubs,85,77,39,640,162,1446.2,7.53,3.56,1.03,0.281,73.60%,41.30%,9.60%,,4.04,4.36,4.36,17.7
,Blue Jays,83,79,44,582,162,1448.2,6.63,2.98,0.98,0.282,71.80%,48.70%,10.60%,,4,4.28,4.15,17.5
